# tmpfile=$(mktemp /tmp/ij-script-XXXX.groovy)
# cat > "$tmpfile" <<'EOF'
# import com.intellij.openapi.actionSystem.ActionManager
# def file = new File("/tmp/ij_actions.txt")
# file.text = ActionManager.getInstance()
#   .getActionIds("")
#   .sort()
#   .join("\n")
# EOF
# rustrover ideScript "$tmpfile"
# cat /tmp/ij_actions.txt
$Copy
$Cut
$Delete
$LRU
$Paste
$Redo
$SearchWeb
$SelectAll
$Undo
<anonymous-group-0>
<anonymous-group-1>
<anonymous-group-2>
<anonymous-group-3>
<anonymous-group-4>
<anonymous-group-5>
<anonymous-group-6>
AIAssistant.AIAssistantTurnOffAction
AIAssistant.Agents.ShowA2ASandbox
AIAssistant.ChangesView.ToolBarActions
AIAssistant.ChangesView.ToolBarActions.Chat
AIAssistant.Chat.AddWebSearchCommand
AIAssistant.Chat.ContextActions.Extended
AIAssistant.Chat.Input.ToggleMaximize
AIAssistant.Chat.Message.Editor.ContextActions.Extended
AIAssistant.Chat.ParseTextFromUIAction
AIAssistant.Chat.PreferredLLMSetting
AIAssistant.Chat.SendActions
AIAssistant.Chat.SendActions.Send
AIAssistant.Chat.Sql.ExplainPlan
AIAssistant.Chat.Toggle.Chat.Mode
AIAssistant.CleanupCodexInstallationAction
AIAssistant.CodeGeneration.Actions.AcceptAllChanges
AIAssistant.CodeGeneration.Actions.Drop
AIAssistant.CodeGeneration.Actions.OpenPromptLibrarySettingsAction
AIAssistant.CodeGeneration.Actions.Regenerate
AIAssistant.CodeGeneration.Actions.ShowIntentionActions
AIAssistant.CodeGeneration.Actions.Specify
AIAssistant.CodeGeneration.Actions.Stop
AIAssistant.DiffView.ToolBarActions
AIAssistant.DiscoverAI
AIAssistant.Editor.AskAiAssistantInEditor
AIAssistant.Editor.GenerateCodeInplace.ToolbarGroup
AIAssistant.GenerateFileCommitSummary
AIAssistant.In.Editor.Diff.Accept
AIAssistant.In.Editor.Diff.Discard
AIAssistant.In.Editor.Diff.ShowChangesInToolbarAction
AIAssistant.In.Editor.Diff.Toolbar.Accept
AIAssistant.In.Editor.Diff.Toolbar.Discard
AIAssistant.LLMSettings
AIAssistant.ManageLicense2
AIAssistant.ManageLicense3
AIAssistant.OpenJunieSettings
AIAssistant.PluginsSettings
AIAssistant.PromptLibrary.SavePrompt
AIAssistant.ToolWindow.Chat.Cancel.Selection
AIAssistant.ToolWindow.Chat.Cancel.Selection.Toolbar
AIAssistant.ToolWindow.Chat.Copy.Chameleon
AIAssistant.ToolWindow.Chat.Copy.Chameleon.Toolbar
AIAssistant.ToolWindow.Chat.CopyAll
AIAssistant.ToolWindow.Chat.CopyAll.OverMessagePopup
AIAssistant.ToolWindow.Chat.Custom.Select.All
AIAssistant.ToolWindow.Chat.Delete
AIAssistant.ToolWindow.Chat.DeleteAll
AIAssistant.ToolWindow.Chat.Dump
AIAssistant.ToolWindow.Chat.Find
AIAssistant.ToolWindow.Chat.Input.Left
AIAssistant.ToolWindow.Chat.Message.AddHashTag
AIAssistant.ToolWindow.Chat.Message.User.Message.Edit
AIAssistant.ToolWindow.Chat.Rename
AIAssistant.ToolWindow.Chat.SecondaryGearActions
AIAssistant.ToolWindow.Chat.Snippet.Appearance
AIAssistant.ToolWindow.Chat.TitleActions.Alt
AIAssistant.ToolWindow.HistoryAction
AIAssistant.ToolWindow.List.ContextActions
AIAssistant.ToolWindow.Message.Copy
AIAssistant.ToolWindow.Message.Dislike
AIAssistant.ToolWindow.Message.Like
AIAssistant.ToolWindow.Message.Regenerate
AIAssistant.ToolWindow.Message.Regenerate.Popup
AIAssistant.ToolWindow.Message.Toolbar.Assistant
AIAssistant.ToolWindow.Message.Toolbar.User
AIAssistant.ToolWindow.Message.Toolbar.User.More
AIAssistant.ToolWindow.NewChatActionAlt
AIAssistant.ToolWindow.RenameDialog
AIAssistant.ToolWindow.ShowOrFocus
AIAssistant.ToolWindow.Snippet.Appearance.IndentGuides
AIAssistant.ToolWindow.Snippet.Appearance.LineNumbers
AIAssistant.ToolWindow.Snippet.Appearance.SoftWrap
AIAssistant.ToolWindow.Snippet.Apply.Internal.Feedback
AIAssistant.ToolWindow.Snippet.Apply.Smart
AIAssistant.ToolWindow.Snippet.CopyToClipboard
AIAssistant.ToolWindow.Snippet.CreateFileFromSnippet
AIAssistant.ToolWindow.Snippet.InsertAtCaret
AIAssistant.ToolWindow.Snippet.RunSnippet
AIAssistant.ToolWindow.Snippet.Toolbar
AIAssistant.ToolsDropdown
AIAssistant.Toolwindow.Scale
AIAssistantAskAIAction
AIAssistantHubPopupAction
AIHub.DisableAIAssistant
AIHub.DisableForThisProject
AIHub.DisablePermanentlyViaPlugin
AIHub.DiscoverFeatures
AIHub.EnableForThisProject
AIHub.ExperimentalFeatures
AIHub.InstallJunie
AIHub.Installed
AIHub.NotInstalled
AIHub.NotInstalled.DiscoverFeatures
AIHub.NotInstalled.InlineCompletionSettings
AIHub.RefreshLicense
AIHub.Settings
AIIntentionsActionGroup
AIIntentionsActionGroupRust
AIIntentionsToolbarActionGroup
AIIntentionsToolbarActionGroupCompact
AIIntentionsToolbarActionGroupPopup
AISelfReview.ToolWindow.Toolbar
AISelfReviewCancelAction
AISelfReviewExportAction
AISelfReviewFixAction
About
Acp.ClearRuntimes
Acp.GetLogs
Acp.OpenConfiguration
ActivateAIAssistantToolWindow
ActivateBackupandSyncHistoryToolWindow
ActivateBookmarksToolWindow
ActivateBuildToolWindow
ActivateCommitToolWindow
ActivateCoverageToolWindow
ActivateDatabaseChangesToolWindow
ActivateDatabaseToolWindow
ActivateDebugToolWindow
ActivateElectroJunToolWindowToolWindow
ActivateFileTransferToolWindow
ActivateFindToolWindow
ActivateHierarchyToolWindow
ActivateMeetNewUIToolWindow
ActivateMergeRequestsToolWindow
ActivateNotificationsToolWindow
ActivatePRAIAssistantToolWindow
ActivateProblemsViewToolWindow
ActivateProjectToolWindow
ActivatePullRequestsToolWindow
ActivateRunToolWindow
ActivateRustCargoToolWindow
ActivateServicesToolWindow
ActivateStructureToolWindow
ActivateSweepAIToolWindow
ActivateTODOToolWindow
ActivateTerminalToolWindow
ActivateToolWindowActions
ActivateTypeScriptToolWindow
ActivateVersionControlToolWindow
Activatedocumentation.v2ToolWindow
ActiveToolwindowGroup
ActivityView.ChangesBrowser.Popup
ActivityView.ChangesBrowser.Toolbar
ActivityView.CreatePatch
ActivityView.Options
ActivityView.Popup
ActivityView.Revert
ActivityView.RevertDifferences
ActivityView.ShowSystemLabelsAction
ActivityView.Toolbar
AddAnotherBookmark
AddBom
AddBom.Group
AddBreakpoint
AddConditionalBreakpoint
AddLoggingBreakpoint
AddSourcesContentToSourceMap
AdditionalRunningOptionsGroup
AdditionalRunningOptionsGroupMain
Ai.FormatByExample
AllRunConfigurationsToggle
AnalyzeActions
AnalyzeActionsPopup
AnalyzePlatformMenu
AnalyzeStacktraceToolbar
Angular2ExtractComponentAction
Annotate
AnnotateStackTraceAction.show.files.modification.info
Arrangement.Alias.Rule.Add
Arrangement.Alias.Rule.Context.Menu
Arrangement.Alias.Rule.Edit
Arrangement.Alias.Rule.Match.Condition.Move.Down
Arrangement.Alias.Rule.Match.Condition.Move.Up
Arrangement.Alias.Rule.Remove
Arrangement.Alias.Rule.ToolBar
Arrangement.Custom.Token.Rule.Edit
Arrangement.Rule.Add
Arrangement.Rule.Edit
Arrangement.Rule.Group.Condition.Move.Down
Arrangement.Rule.Group.Condition.Move.Up
Arrangement.Rule.Group.Control.ToolBar
Arrangement.Rule.Match.Condition.Move.Down
Arrangement.Rule.Match.Condition.Move.Up
Arrangement.Rule.Match.Control.Context.Menu
Arrangement.Rule.Match.Control.ToolBar
Arrangement.Rule.Remove
Arrangement.Rule.Section.Add
ArrangementRulesGroup
AssociateWithFileType
AsyncDiagnosticGroup
AsyncGroup
AttachProfilerToLocalProcess
AttachProject
AutoIndentLines
AutoShowProcessWindow
Back
BackgroundTasks
BasicEditorPopupMenu
BlankDiffViewerEditorPopupMenu
BookmarkOpenTabs
BookmarkOpenTabsGroup
Bookmarks
Bookmarks.Goto
Bookmarks.Toggle
Bookmarks.ToolWindow.GearActions
Bookmarks.ToolWindow.PopupMenu
Bookmarks.ToolWindow.TitleActions
BookmarksView.AskBeforeDeletingLists
BookmarksView.AutoscrollFromSource
BookmarksView.AutoscrollToSource
BookmarksView.ChooseType
BookmarksView.Create
BookmarksView.DefaultGroup
BookmarksView.Delete
BookmarksView.DeleteType
BookmarksView.GroupLineBookmarks
BookmarksView.MoveDown
BookmarksView.MoveUp
BookmarksView.OpenInPreviewTab
BookmarksView.Rename
BookmarksView.RewriteBookmarkType
BookmarksView.ShowPreview
BookmarksView.SortGroupBookmarks
BraceOrQuoteOut
BreakpointActionsGroup
BrowseSpecialPaths
BuildMenu
BuildProject
BuildTree
CIDR.Debugger.AddWatchPoint
CIDR.Debugger.AttachToUnstartedProcess
CIDR.Debugger.CopyAddress
CIDR.Debugger.DetachInferiorOnFork
CIDR.Debugger.DisableFilteringValues
CIDR.Debugger.DisableValueRenderers
CIDR.Debugger.DisassembleFrame
CIDR.Debugger.EnableHexFormatting
CIDR.Debugger.FollowChildOnFork
CIDR.Debugger.ForkDebuggingActions.TopToolbar3.Extra
CIDR.Debugger.ForkGroup
CIDR.Debugger.ForkGroup.Popup
CIDR.Debugger.FramePresentation
CIDR.Debugger.FramePresentation.Popup
CIDR.Debugger.Frames.Tree.Popup
CIDR.Debugger.FreezeThreadDebuggingActions.TopToolbar3.Extra
CIDR.Debugger.FreezeThreadDebuggingActionsGroup
CIDR.Debugger.FreezeThreadGroup
CIDR.Debugger.FreezeThreadGroup.Popup
CIDR.Debugger.GdbIndexResetCaches
CIDR.Debugger.ImageViewerActions.CopyImage
CIDR.Debugger.ImageViewerActions.CopyPixelAddress
CIDR.Debugger.ImageViewerActions.CopyPixelCoordinates
CIDR.Debugger.ImageViewerActions.CopyPixelData
CIDR.Debugger.ImageViewerActions.ReloadImage
CIDR.Debugger.ImageViewerActions.SaveImage
CIDR.Debugger.ImageViewerPopupActions
CIDR.Debugger.ImageViewerToolbarSaveActions
CIDR.Debugger.JumpToDebuggerConsole
CIDR.Debugger.JumpToLine
CIDR.Debugger.LowLevelExceptionAction.Suppress.AtAddress
CIDR.Debugger.LowLevelExceptionAction.Suppress.AtLine
CIDR.Debugger.LowLevelExceptionAction.Suppress.Globally
CIDR.Debugger.MuteVariables
CIDR.Debugger.PauseAll
CIDR.Debugger.RegisterSets.Group
CIDR.Debugger.Registers.Group
CIDR.Debugger.Registers.Group.Wrapper
CIDR.Debugger.ResumeAll
CIDR.Debugger.Settings.FramePresentation.Appender
CIDR.Debugger.ShowFrameFunctionParameterTypes
